Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards,Player-additional
1,Kylan Boswell,G,35,34,1085,15.9,.540,.433,.433,454,4.7,11.4,8.2,18.8,2.0,0.7,15.7,20.4,2.1,1.5,3.6,.134,2.6,3.5,6.2,,kylan-boswell-1
2,Kasparas Jakucionis,G,33,33,1051,17.4,.590,.501,.496,529,4.9,13.6,9.5,26.0,1.5,0.8,22.7,24.2,2.2,1.5,3.7,.141,4.0,2.6,6.6,,kasparas-jakucionis-1
3,Ben Humrichous,F,35,26,906,11.7,.519,.754,.142,252,5.0,10.3,7.8,5.6,1.0,2.2,6.2,14.2,1.4,1.2,2.6,.113,3.3,3.0,6.3,,ben-humrichous-1
4,Will Riley,F,35,9,899,17.4,.532,.401,.323,429,5.2,11.6,8.5,16.1,0.6,1.0,9.2,23.8,2.3,1.0,3.3,.146,4.8,1.7,6.5,,will-riley-1
5,Tomislav Ivisic,C,32,31,859,22.0,.597,.486,.202,400,7.4,22.2,15.2,15.8,1.2,4.0,12.8,21.8,2.4,1.6,4.0,.187,6.3,4.5,10.7,,tomislav-ivisic-1
6,Tre White,G,32,31,747,18.7,.613,.311,.453,309,6.9,17.4,12.4,6.0,1.0,1.4,10.5,19.2,2.1,1.1,3.2,.172,4.0,3.4,7.4,,tre-white-1
7,Morez Johnson Jr.,F,30,8,528,23.1,.644,.000,.742,215,17.3,22.5,20.1,2.7,1.3,5.5,12.4,16.5,1.6,1.1,2.7,.204,4.2,3.8,7.9,,morez-johnson-jr-1
8,Dra Gibbs-Lawhorn,G,35,2,521,12.0,.544,.563,.207,189,5.6,5.6,5.6,5.8,1.2,0.3,10.7,19.3,0.9,0.5,1.4,.107,0.6,2.0,2.6,,dra-gibbs-lawhorn-1
9,Jake Davis,F,32,1,302,10.2,.541,.753,.071,89,6.3,9.3,7.9,5.5,0.2,1.5,8.3,14.9,0.5,0.3,0.8,.106,1.5,1.8,3.4,,jake-davis-2
10,Carey Booth,F,21,0,108,3.1,.372,.758,.121,24,3.1,17.7,10.8,1.5,0.0,3.3,14.7,17.8,-0.1,0.2,0.0,.008,-4.8,0.9,-3.9,,carey-booth-2
11,AJ Redd,G,14,0,28,5.1,.191,.000,1.200,5,8.0,21.6,15.1,10.5,2.0,3.2,11.3,14.8,-0.1,0.1,0.0,-0.007,-4.8,3.7,-1.1,,aj-redd-1
12,Keaton Kutcher,G,13,0,22,6.3,.417,.833,.000,5,0.0,13.7,7.2,7.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,.068,-3.9,0.8,-3.2,,keaton-kutcher-1
,Team Totals,,35,35,7056,,.563,.472,.344,,,,,,,,,,15.3,10.1,25.4,.144,3.5,3.0,6.5,,-9999